"id","relevance"
1,3
4,2
5,1
6,1
7,3
8,2
10,2
11,3
12,3
13,1
14,3
15,1
19,1
22,2
24,3
25,2
26,1
28,1
29,1
30,3
31,3
32,3
33,3
36,2
39,2
40,3
41,3
42,2
43,2
44,1
45,1
46,2
47,1
49,3
50,3
52,2
53,3
54,1
55,1
56,2
57,2
58,3
59,1
60,2
61,3
62,2
63,1
64,1
66,3
67,2
68,1
70,2
71,3
72,3
73,1
74,1
76,2
77,3
78,2
79,1
80,1
82,2
83,1
84,1
86,1
87,1
89,2
91,1
93,3
94,1
95,2
96,2
97,1
98,2
99,3
100,1
102,2
103,3
104,1
107,2
108,2
109,1
110,1
111,1
112,1
115,1
116,1
118,2
119,1
121,3
124,2
126,2
128,3
129,2
130,1
131,1
132,3
133,3
134,2
135,1
137,2
139,2
140,2
141,2
142,2
144,3
145,1
146,3
148,2
151,3
152,2
153,3
154,3
155,2
156,1
159,2
160,2
161,3
163,3
167,1
168,2
169,1
170,3
171,3
173,2
174,3
175,2
176,2
180,3
183,1
184,1
185,2
187,3
188,2
189,1
190,3
192,1
194,1
196,1
197,2
198,1
199,3
200,1
204,2
206,1
207,3
208,2
209,2
211,3
212,1
213,2
216,2
217,3
218,2
219,1
220,2
221,3
222,3
224,2
225,3
228,3
229,2
230,3
231,3
232,2
234,3
235,1
236,1
237,3
238,2
239,3
240,2
242,1
243,1
244,2
246,2
247,2
248,2
249,1
250,2
251,2
252,3
253,2
254,2
256,3
258,1
260,3
262,1
263,3
264,3
265,3
267,3
268,3
269,1
271,2
273,2
274,3
277,3
278,2
279,3
280,1
281,3
282,2
283,1
285,3
286,2
287,1
288,3
289,3
291,1
292,3
295,3
296,2
298,3
299,3
300,2
301,3
302,1
303,2
304,1
306,2
307,2
308,2
309,1
310,3
311,1
312,1
313,1
315,1
316,2
317,1
320,2
321,2
322,1
324,2
325,3
326,3
328,1
329,2
330,1
332,1
333,3
336,1
337,1
338,3
339,3
342,2
344,2
345,1
348,2
349,1
352,1
353,1
356,1
357,3
358,1
360,1
362,1
364,3
366,1
367,1
368,3
369,3
370,2
371,3
372,1
376,3
377,3
378,3
379,2
380,1
381,2
382,2
383,3
384,3
386,3
387,1
388,1
390,2
391,2
392,3
393,3
394,1
395,1
396,3
398,3
399,2
404,1
405,1
406,1
409,1
410,3
412,3
414,1
415,1
416,1
417,2
419,2
420,2
423,2
424,2
425,1
426,2
427,2
428,3
429,3
430,1
431,2
432,2
433,1
434,2
435,2
436,2
437,1
438,1
439,3
441,1
442,1
443,2
448,3
449,2
450,1
451,2
453,1
457,1
460,3
462,2
463,2
464,1
465,3
466,2
467,3
471,2
472,3
474,3
477,2
482,2
483,1
484,3
486,1
487,1
488,3
489,3
490,2
493,2
494,2
495,2
496,3
498,2
499,1
502,2
503,1
504,3
505,1
506,3
507,3
509,1
510,3
512,1
513,1
514,1
515,3
518,3
519,3
520,1
521,3
522,1
523,3
525,1
526,3
527,3
528,3
529,1
530,3
531,3
532,2
534,1
535,3
537,2
538,3
539,1
540,3
541,2
543,1
545,3
546,2
547,1
548,2
550,2
552,3
553,2
554,3
555,1
556,1
558,2
560,1
561,2
564,1
565,3
566,1
567,2
569,2
570,2
574,2
575,1
577,3
578,3
579,1
580,1
586,2
587,1
588,2
589,2
590,3
592,3
594,3
596,1
597,3
598,3
599,3
601,1
602,2
603,3
604,3
607,3
608,3
609,3
610,2
612,1
613,3
614,2
615,2
616,1
617,2
618,3
620,3
621,2
622,2
623,2
624,1
625,1
627,1
628,2
629,2
631,3
632,3
633,1
638,1
639,2
641,3
645,1
647,2
648,1
649,3
650,3
651,3
654,1
655,2
656,1
657,3
658,1
664,3
665,1
667,3
672,2
673,2
675,1
676,1
678,3
681,1
683,3
684,1
685,2
689,1
692,2
693,1
694,3
695,2
697,3
698,2
699,1
701,3
702,2
703,3
704,3
705,2
706,3
707,2
708,2
709,3
710,1
711,2
714,3
716,3
717,3
719,3
720,3
721,2
723,1
724,1
725,1
727,2
728,3
729,3
730,3
732,2
733,2
735,1
736,2
738,3
741,1
744,1
746,1
747,2
750,1
752,2
754,1
755,2
757,2
761,3
762,1
766,2
767,3
768,3
769,2
770,2
772,1
774,3
775,3
776,2
777,3
779,1
780,3
781,2
782,2
783,3
785,1
786,1
788,1
789,3
792,1
793,3
794,2
795,1
796,3
797,1
798,3
799,3
802,3
803,3
804,1
805,3
806,3
807,3
808,1
809,1
810,1
813,3
814,1
815,2
816,1
820,2
821,2
822,1
823,3
825,1
827,3
829,1
830,2
833,3
834,3
835,2
836,2
838,3
839,3
840,1
841,3
842,2
845,1
846,2
848,3
849,1
850,3
851,2
853,2
854,2
855,2
856,3
858,3
859,2
860,3
861,1
863,3
864,1
865,2
866,3
870,1
871,2
873,1
874,1
875,2
877,3
879,2
880,3
883,1
884,1
887,2
888,3
889,3
890,1
891,3
892,2
896,3
897,2
900,2
901,3
903,1
904,2
905,3
906,1
907,2
911,2
913,3
914,3
915,3
916,2
917,3
919,2
920,3
921,2
924,2
925,2
926,2
927,3
930,3
931,3
932,2
933,2
935,2
936,2
937,1
938,1
939,1
941,3
942,2
943,2
945,3
946,1
947,3
948,3
949,3
950,1
951,2
952,3
953,2
955,1
956,2
957,3
959,1
960,1
961,3
964,1
965,3
966,1
967,1
968,3
970,3
971,2
972,3
973,3
975,2
976,3
977,1
979,2
980,2
981,3
982,2
983,3
985,2
986,1
987,3
988,2
989,2
990,2
992,1
993,3
994,1
995,3
996,2
997,3
998,3
999,1
1002,3
1003,1
1005,3
1006,1
