product_uid,name,value
100001,Bullet01,Versatile connector for various 90° connections and home repair projects
100001,Bullet02,Stronger than angled nailing or screw fastening alone
100001,Bullet03,Help ensure joints are consistently straight and strong
100001,Bullet04,Dimensions: 3 in. x 3 in. x 1-1/2 in.
100001,Bullet05,Made from 12-Gauge steel
100001,Bullet06,Galvanized for extra corrosion resistance
100001,Bullet07,Install with 10d common nails or #9 x 1-1/2 in. Strong-Drive SD screws
100001,Gauge,12
100001,Material,Galvanized Steel
100001,MFG Brand Name,Simpson Strong-Tie
100001,Number of Pieces,1
100001,Product Depth (in.),1.5
100001,Product Height (in.),3
100001,Product Weight (lb.),0.26
100001,Product Width (in.),3
100002,Application Method,"Brush,Roller,Spray"
100002,Assembled Depth (in.),6.63 in
100002,Assembled Height (in.),7.76 in
100002,Assembled Width (in.),6.63 in
100002,Bullet01,"Revives wood and composite decks, railings, porches and boat docks, also great for concrete pool decks, patios and sidewalks"
100002,Bullet02,100% acrylic solid color coating
100002,Bullet03,Resists cracking and peeling and conceals splinters and cracks up to 1/4 in.
100002,Bullet04,"Provides a durable, mildew resistant finish"
100002,Bullet05,Covers up to 75 sq. ft. in 2 coats per gallon
100002,Bullet06,"Creates a textured, slip-resistant finish"
100002,Bullet07,"For best results, prepare with the appropriate BEHR product for your wood or concrete surface"
100002,Bullet08,Actual paint colors may vary from on-screen and printer representations
100002,Bullet10,Colors available to be tinted in most stores
100002,Bullet18,"Online Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT"
100002,Cleanup,Soap and Water
100002,Color Family,Browns / Tans
100002,Color/Finish,Tugboat
100002,Concrete Use,Yes
100002,Container Size,1 GA-Gallon
100002,Coverage Area (sq. ft.),75
100002,Deck Use,Yes
100002,Interior/Exterior,Exterior
100002,MFG Brand Name,BEHR Premium Textured DeckOver
100002,Mildew Resistant,Yes
100002,Opacity,Solid
100002,Paint Product Type,Exterior Paint/Stain
100002,Patching & Repair Product Type,Restoration Coating
100002,Product Style,Cottage
100002,RGB Value,119:100:086
100002,Sealer,No
100002,Time before recoating (hours),6
100002,Tintable,No
100002,Transparency,Solid
100002,UV Resistant,Yes
100002,Waterproof,No
100003,Built-in flange,Yes
100003,Bullet01,Slightly narrower for tighter spaces
100003,Bullet02,Designed with an 18 in. apron
100003,Bullet03,"Durable high-gloss finish provides a smooth, shiny surface that is easy to clean"
100003,Bullet04,Conforms to ANSI Z124.1.2 and CSA B45.1 national consensus standards
100003,Bullet05,"Curve wall with a smooth, contemporary look, featuring integrated storage shelves"
100003,Caulkless,No
100003,Certifications and Listings,"ANSI Certified,ASTM Compliant,CSA Certified"
100003,Color Family,White
100003,Color/Finish,White
100003,Construction,Four piece
100003,Drain Included,No
100003,Drain Location,Right
100003,Exterior bath shape,Rectangle
100003,Faucet mount,Wall
100003,Height from Floor (in.),75.25
100003,Installation Type,Direct-to-stud
100003,Material,Composite
100003,Maximum Number of Occupants,1
100003,MFG Brand Name,STERLING
100003,Product Weight (lb.),129
100003,Shape,Rectangle
100003,Shower Depth (in.),33.25
100003,Shower Height (in.),75.25
100003,Shower Width (in.),60.25
100003,Slip-resistant tub floor,No
100003,Tub Depth (in.),20
100003,Tub Height (in.),18
100003,Tub Length (in.),60
100003,Tub Width (in.),33.25
100003,Wall Height (in.),54
100003,Water capacity (gallons),55
100004,Amperage (amps),8.56
100004,Bullet01,Positive power tolerance (0 to +5-Watt)
100004,Bullet02,Anti-reflective and anti-soiling surface reduces power loss from dirt and dust
100004,Bullet03,Outstanding performance in low-light irradiances environments
100004,Bullet04,Certified to withstand high wind and snow loads
100004,Bullet05,100% electroluminescence inspection ensures modules are defect free
100004,Bullet06,Positive and negative leads quipped with MC4 connectors
100004,Charge controller included,No
100004,Electrical Product Type,Solar Power Panel
100004,Inverter included,No
100004,Low voltage audible alarm,No
100004,MFG Brand Name,Grape Solar
100004,Mounting frame included,No
100004,Number of Panels,4
100004,Panel Height (in.),1.57
100004,Panel length (in.),64.96
100004,Panel weight (lb.),40
100004,Panel Width (in.),39
100004,Portable,No
100004,Product Depth (in.),64.96
100004,Product Height (in.),1.57
100004,Product Width (in.),39
100004,Solar panel type,Polycrystalline silicon panel
100004,Voltage (volts),30.96
100004,Wattage (watts),265
100005,Bath Faucet Type,Combo Tub and Shower
100005,Built-in Water Filter,No
100005,Bullet01,"Includes the trim kit only, the rough-in kit (R10000-UNBX) is sold separately"
100005,Bullet02,Includes the handle
100005,Bullet03,Maintains a balanced pressure of hot and cold water even when a valve is turned on or off elsewhere in the system
100005,Bullet04,"Due to WaterSense regulations in the state of New York, please confirm your shipping zip code is not restricted from use of items that do not meet WaterSense qualifications"
100005,Certifications and Listings,"ADA Compliant,CSA Certified,IAPMO Certified"
100005,Color Family,Chrome
100005,Color/Finish,Chrome
100005,Connection size (in.),1/2 In.
100005,Faucet Features,No Additional Features
100005,Faucet Included Components,"Handles,Pressure Balance/Scald Guard"
100005,Faucet type,Bath Faucet
100005,Flow rate (gallons per minute),2.5
100005,Handle type,Lever
100005,MFG Brand Name,Delta
100005,Number of Faucet Handles,Single Handle
100005,Number of showerheads,1
100005,Number of Spray Settings,1
100005,Product Depth (in.),15.28
100005,Product Height (in.),24
100005,Product Width (in.),7.09
100005,Showerhead face diameter (in.),4.06
100005,Showerhead type,Fixed Mount
100005,Spray Pattern,Rain
