id,relevance
1,3
4,2.5
5,2.5
6,2.5
7,2.5
8,2.5
10,1
11,1
12,1
13,1
14,2.33
15,2.67
19,3
22,3
24,1
25,3
26,3
28,2.67
29,2.67
30,2.67
31,2.67
32,2.67
33,2.67
36,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2.67
49,2.67
50,2.67
52,2.67
53,2.67
54,2.67
55,2.67
56,2.67
57,2.67
58,2.67
59,2.67
60,1
61,1
62,1
63,1
64,1
66,3
67,1
68,2.33
70,2.33
71,2.33
72,2.33
73,2.33
74,2.33
76,2.33
77,2.33
78,2.33
79,2.33
80,2.33
82,2.33
83,2.33
84,2.33
86,1
87,1
89,2.33
91,2.33
93,2.33
94,2.33
95,2.33
96,2.33
97,2.33
98,2.33
99,2.33
100,2.33
102,2.33
103,2.33
104,2.33
107,2.33
108,2.33
109,1
110,1
111,1
112,2
115,2.33
116,2
118,2.33
119,2.33
121,2.33
124,2
126,2
128,2
129,2
130,2
131,1
132,1
133,1
134,2
135,2.33
137,2.33
139,2.33
140,2.33
141,2.33
142,2.33
144,2.33
145,2.33
146,2.33
148,1.67
151,1.67
152,1.67
153,1.67
154,1.67
155,1.67
156,1.67
159,1.67
160,1.67
161,1.67
163,3
167,1
168,1
169,1
170,1
171,1
173,3
174,3
175,3
176,3
180,3
183,3
184,3
185,3
187,3
188,3
189,3
190,3
192,3
194,3
196,1
197,1
198,1
199,1
200,1
204,2.33
206,2.33
207,2.5
208,2.5
209,2.5
211,3
212,3
213,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
224,3
225,3
228,3
229,3
230,3
231,3
232,3
234,1
235,1
236,1
237,1
238,1
239,2.33
240,2.33
242,2.33
243,2.33
244,2.33
246,2.33
247,2.33
248,1
249,1
250,1
251,1
252,1
253,1
254,2.33
256,2.33
258,2
260,1.67
262,1.67
263,1.67
264,1.67
265,1.67
267,1.67
268,1.67
269,1.67
271,2.33
273,3
274,3
277,1
278,1
279,1
280,1
281,1
282,1
283,2
285,2
286,2
287,2
288,2.67
289,2.67
291,2.67
292,2.67
295,2.33
296,2.33
298,2.33
299,2.33
300,2.33
301,2.33
302,1
303,3
304,3
306,2.67
307,2.67
308,2.67
309,2.67
310,2.67
311,2.67
312,2.67
313,2.67
315,2.67
316,2.67
317,2.67
320,2.67
321,2.67
322,2
324,2
325,2
326,2
328,2
329,2
330,2
332,2
333,2
336,2
337,1.33
338,1.33
339,1.33
342,3
344,3
345,3
348,3
349,3
352,3
353,3
356,3
357,3
358,3
360,3
362,2.33
364,2.33
366,2.33
367,2.33
368,1
369,1
370,1
371,1
372,1
376,2.67
377,2.67
378,2.67
379,2.67
380,2.67
381,2.67
382,2.67
383,2.67
384,2.67
386,2.67
387,2.67
388,2.67
390,2.33
391,3
392,3
393,3
394,3
395,3
396,3
398,3
399,3
404,3
405,3
406,3
409,3
410,3
412,3
414,3
415,3
416,3
417,3
419,3
420,3
423,3
424,3
425,3
426,1
427,1
428,1
429,1
430,1
431,1
432,2
433,1.67
434,1.67
435,1.67
436,1.67
437,1.67
438,1.67
439,1.67
441,1.67
442,1.67
443,1.67
448,1.67
449,1.67
450,1.67
451,1.67
453,1.67
457,1.67
460,3
462,3
463,3
464,3
465,3
466,3
467,3
471,3
472,3
474,3
477,2.33
482,1
483,1
484,1
486,1
487,3
488,3
489,3
490,3
493,3
494,3
495,3
496,3
498,3
499,2.67
502,1.67
503,1.67
504,1.67
505,1.67
506,1.67
507,1
509,2.33
510,2.33
512,2.33
513,2.33
514,2.33
515,2.33
518,1.33
519,1.33
520,1
521,1
522,2
523,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
534,2
535,2
537,2
538,2
539,2
540,2
541,2
543,3
545,3
546,3
547,3
548,2.33
550,2.67
552,2.67
553,2.67
554,2.67
555,2.67
556,2.67
558,2.67
560,2.67
561,2.67
564,2.67
565,1
566,1
567,2.67
569,2.67
570,2.67
574,2.67
575,2.67
577,2.67
578,3
579,3
580,3
586,3
587,1.33
588,1.33
589,1.33
590,1.33
592,1.33
594,1.33
596,2
597,3
598,3
599,3
601,3
602,3
603,3
604,2
607,2.67
608,2.67
609,2.67
610,2.67
612,2.67
613,2.67
614,2.67
615,2.67
616,2.33
617,2.33
618,2.33
620,2.33
621,2.33
622,2.33
623,1.33
624,1.33
625,1.33
627,1.33
628,1
629,3
631,3
632,3
633,3
638,2.67
639,1
641,2.33
645,2.67
647,2.33
648,2.33
649,2.33
650,2.33
651,2.33
654,1.25
655,1
656,1
657,1
658,1
664,2
665,2
667,2
672,3
673,2
675,2.67
676,2.67
678,2.67
681,2
683,2
684,3
685,3
689,2
692,2.67
693,1
694,1
695,1
697,3
698,3
699,3
701,3
702,3
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
714,3
716,2.33
717,2.33
719,2.33
720,2.33
721,2.33
723,2.33
724,2.33
725,2.67
727,2.67
728,2.67
729,2.67
730,2.33
732,3
733,2.67
735,2.67
736,2.67
738,2.67
741,3
744,3
746,3
747,1.67
750,1.67
752,1.67
754,1.67
755,3
757,2.33
761,1.67
762,1.33
766,1.33
767,1.33
768,1.33
769,1.33
770,1.33
772,1.33
774,2
775,2
776,2
777,2
779,2
780,1
781,1
782,1
783,1
785,1.67
786,1.67
788,1.67
789,1.67
792,1.67
793,1.67
794,1.67
795,1.67
796,1.67
797,1.67
798,1.67
799,1.67
802,1
803,1
804,1
805,3
806,3
807,3
808,3
809,3
810,3
813,3
814,1.67
815,3
816,3
820,3
821,3
822,3
823,3
825,3
827,1
829,2.33
830,3
833,3
834,3
835,3
836,3
