"id","relevance"
1,3
4,3
5,3
6,3
7,3
8,3
10,1
11,1
12,1
13,1
14,2
15,3
19,3
22,3
24,1
25,3
26,3
28,3
29,3
30,3
31,3
32,3
33,3
36,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,3
49,3
50,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,1
61,1
62,1
63,1
64,1
66,3
67,1
68,2
70,2
71,2
72,2
73,2
74,2
76,2
77,2
78,2
79,2
80,2
82,2
83,2
84,2
86,1
87,1
89,2
91,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
102,2
103,2
104,2
107,2
108,2
109,1
110,1
111,1
112,2
115,2
116,2
118,2
119,2
121,2
124,2
126,2
128,2
129,2
130,2
131,1
132,1
133,1
134,2
135,2
137,2
139,2
140,2
141,2
142,2
144,2
145,2
146,2
148,2
151,2
152,2
153,2
154,2
155,2
156,2
159,2
160,2
161,2
163,3
167,1
168,1
169,1
170,1
171,1
173,3
174,3
175,3
176,3
180,3
183,3
184,3
185,3
187,3
188,3
189,3
190,3
192,3
194,3
196,1
197,1
198,1
199,1
200,1
204,2
206,2
207,3
208,3
209,3
211,3
212,3
213,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
224,3
225,3
228,3
229,3
230,3
231,3
232,3
234,1
235,1
236,1
237,1
238,1
239,2
240,2
242,2
243,2
244,2
246,2
247,2
248,1
249,1
250,1
251,1
252,1
253,1
254,2
256,2
258,2
260,2
262,2
263,2
264,2
265,2
267,2
268,2
269,2
271,2
273,3
274,3
277,1
278,1
279,1
280,1
281,1
282,1
283,2
285,2
286,2
287,2
288,3
289,3
291,3
292,3
295,2
296,2
298,2
299,2
300,2
301,2
302,1
303,3
304,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
315,3
316,3
317,3
320,3
321,3
322,2
324,2
325,2
326,2
328,2
329,2
330,2
332,2
333,2
336,2
337,1
338,1
339,1
342,3
344,3
345,3
348,3
349,3
352,3
353,3
356,3
357,3
358,3
360,3
362,2
364,2
366,2
367,2
368,1
369,1
370,1
371,1
372,1
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
386,3
387,3
388,3
390,2
391,3
392,3
393,3
394,3
395,3
396,3
398,3
399,3
404,3
405,3
406,3
409,3
410,3
412,3
414,3
415,3
416,3
417,3
419,3
420,3
423,3
424,3
425,3
426,1
427,1
428,1
429,1
430,1
431,1
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
441,2
442,2
443,2
448,2
449,2
450,2
451,2
453,2
457,2
460,3
462,3
463,3
464,3
465,3
466,3
467,3
471,3
472,3
474,3
477,2
482,1
483,1
484,1
486,1
487,3
488,3
489,3
490,3
493,3
494,3
495,3
496,3
498,3
499,3
502,2
503,2
504,2
505,2
506,2
507,1
509,2
510,2
512,2
513,2
514,2
515,2
518,1
519,1
520,1
521,1
522,2
523,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
534,2
535,2
537,2
538,2
539,2
540,2
541,2
543,3
545,3
546,3
547,3
548,2
550,3
552,3
553,3
554,3
555,3
556,3
558,3
560,3
561,3
564,3
565,1
566,1
567,3
569,3
570,3
574,3
575,3
577,3
578,3
579,3
580,3
586,3
587,1
588,1
589,1
590,1
592,1
594,1
596,2
597,3
598,3
599,3
601,3
602,3
603,3
604,2
607,3
608,3
609,3
610,3
612,3
613,3
614,3
615,3
616,2
617,2
618,2
620,2
621,2
622,2
623,1
624,1
625,1
627,1
628,1
629,3
631,3
632,3
633,3
638,3
639,1
641,2
645,3
647,2
648,2
649,2
650,2
651,2
654,1.25
655,1
656,1
657,1
658,1
664,2
665,2
667,2
672,3
673,2
675,3
676,3
678,3
681,2
683,2
684,3
685,3
689,2
692,3
693,1
694,1
695,1
697,3
698,3
699,3
701,3
702,3
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
714,3
716,2
717,2
719,2
720,2
721,2
723,2
724,2
725,3
727,3
728,3
729,3
730,2
732,3
733,3
735,3
736,3
738,3
741,3
744,3
746,3
747,2
750,2
752,2
754,2
755,3
757,2
761,2
762,1
766,1
767,1
768,1
769,1
770,1
772,1
774,2
775,2
776,2
777,2
779,2
780,1
781,1
782,1
783,1
785,2
786,2
788,2
789,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
802,1
803,1
804,1
805,3
806,3
807,3
808,3
809,3
810,3
813,3
814,2
815,3
816,3
820,3
821,3
822,3
823,3
825,3
827,1
829,2
830,3
833,3
834,3
835,3
836,3
838,3
839,3
840,2.75
841,2
842,2
845,2
846,2
848,2
849,2
850,2
851,2
853,2
854,3
855,3
856,3
858,3
859,1
860,1
861,1
863,3
864,2
865,2
866,2
870,2
871,2
873,2
874,2
875,2
877,2
879,2
880,2
883,2
884,2
887,2
888,2
889,2
890,2
891,2
892,2
896,2
897,2
900,2
901,3
903,3
904,3
905,1
906,1
907,1
911,1
913,1
914,1
915,1
916,1
917,1
919,1
920,1
921,1
924,3
925,2
926,2
927,2
930,3
931,3
932,3
933,3
935,3
936,3
937,3
938,3
939,3
941,3
942,3
943,1
945,3
946,3
947,3
948,3
949,3
950,3
951,2
952,2
953,2
955,2
956,2
957,2
959,2
960,2
961,2
964,1
965,1
966,1
967,3
968,3
970,3
971,3
972,3
973,2
975,2
976,2
977,2
979,2
980,2
981,1
982,1
983,2
985,2
986,1
987,1
988,3
989,3
990,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
1002,3
1003,3
1005,3
1006,3
1009,3
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,3
1017,2
1018,2
1021,2
1023,2
1024,2
1025,2
1027,2
1029,3
1030,3
1032,3
1033,3
1034,3
1035,3
1036,3
1037,3
1039,3
1041,2
1042,2
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1052,3
1054,2
1055,2
1057,3
1058,3
1059,3
1061,3
1063,3
1064,2
1066,2
1067,2
1069,2
1070,2
1071,2
1075,3
1077,1
1078,1
1079,1
1082,2
1085,2
1087,2
1088,2
1089,3
1091,3
1092,3
1093,1
1094,1
1096,3
1099,2
1100,1
1102,1
1105,1
1106,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,3
1115,3
1117,3
1118,1
1119,3
1120,2
1122,2
1123,2
1124,2
1125,2
1126,2
1127,2
1130,2
1131,2
1133,2
1136,2
1137,3
1139,3
1140,3
1141,3
1143,3
1144,3
1147,3
1149,3
1150,3
1152,3
1153,3
1154,3
1156,3
1157,3
1158,3
1160,3
1161,3
1162,3
1163,3
1166,2
1167,2
1169,2
1170,2
1173,2
1174,2
1175,2
1178,1
1179,1
1181,2
1182,3
1183,3
1184,3
1186,1
1187,1
1188,2
1189,3
1190,3
1193,3
1194,3
1197,1
1198,1
1199,1
1200,1
1201,2
1202,1
1203,1
1204,1
1207,2
1209,3
1210,3
1211,3
1213,3
1214,3
1217,3
1219,2
1221,1.75
1222,3
1223,3
1225,2
1226,2
1229,3
1232,1
1233,1
1234,1
1235,1
1236,1
1239,3
1240,2
1241,2
1242,2
1244,3
1245,3
1246,3
1247,3
1249,3
1250,3
1251,3
1254,3
1255,3
1256,3
1258,3
1259,3
1260,1
1261,1
1262,1
1263,1
1264,2
1265,2
1268,1
1269,1
1270,1
1271,3
1272,3
1274,3
1277,3
1278,3
1280,3
1281,3
1282,3
1283,3
1284,1
1285,1
1286,1
1288,3
1290,2
1292,2
1293,2
1294,2
1295,2
1297,2
1298,3
1299,3
1301,3
1304,3
1305,3
1306,3
1307,1
1308,1
1309,1
1310,1
1311,1
1312,1
1313,3
1314,3
1315,3
1318,3
1319,3
1321,3
1322,3
1324,1
1325,1
1327,3
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,3
1336,3
1337,3
1339,3
1341,1
1342,2
1343,3
1346,3
1350,1
1351,1
1352,1
1353,1
1354,1
1358,2
1360,1
1361,1
1362,1
1363,2
1365,2
1367,2
1368,2
1369,2
1370,2
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1389,2
1390,2
1391,2
1392,2
1393,2
1396,2
1398,2
1400,2
1402,2
1404,3
1406,3
1407,3
1409,3
1410,3
1411,3
1412,3
1413,3
1415,3
1416,3
1417,3
1418,3
1420,3
1421,3
1423,2
1424,2
1425,3
1426,3
1428,3
1429,3
1430,3
1432,1
1435,1
1437,3
1438,2
1440,2
1441,2
1442,2
1445,2
1446,2
1447,1
1448,2
1450,1
1451,1
1452,1
1455,1
1456,1
1457,1
1459,3
1460,3
1461,3
1462,1
1463,1
1464,1
1465,1
1466,3
1467,1
1469,1
1470,1
1474,1
1475,1
1476,2
1477,2
1478,2
1480,2
1482,2
1484,2
1485,2
1488,2
1489,2
1493,2
1494,2
1495,2
1498,2
1499,2
1500,2
1502,1
1503,3
1505,3
1507,3
1508,3
1510,3
1511,3
1513,1
1514,2
1515,2
1516,2
1517,2
1518,2
1519,2
1520,2
1521,2
1522,2
1523,2
1524,2
1525,2
1526,2
1527,2
1529,2
1530,2
1531,2
1532,1
1533,1
1534,1
1535,1
1536,3
1537,3
1539,3
1540,3
1541,3
1543,3
1544,3
1545,3
1547,1
1549,2
1550,2
1551,2
1552,2
1553,2
1555,2
1556,2
1557,2
1558,2
1559,2
1563,2
1564,2
1565,2
1566,2
1567,2
1570,2
1573,3
1574,3
1575,2
1579,1
1580,1
1581,1
1582,1
1583,3
1584,3
1585,3
1586,3
1589,3
1590,3
1591,1
1592,1
1594,3
1596,3
1597,3
1598,3
1599,3
1600,3
1601,3
1602,3
1603,3
1604,3
1605,1
1606,1
1607,1
1608,2
1611,2
1613,2
1614,2
1615,2
1618,3
1619,3
1620,3
1621,3
1623,3
1625,3
1626,3
1628,3
1629,3
1630,1
1631,1
1632,1
1635,3
1636,3
1638,3
1639,3
1641,3
1642,3
1644,1
1646,1
1649,1
1650,1
1651,1
1652,1
1658,3
1659,3
1660,3
1662,1
1663,1
1665,1
1666,1
1668,1
1674,2
1676,2
1678,3
1679,3
1680,3
1682,3
1683,3
1684,3
1685,3
1686,3
1687,1
1688,2
1689,3
1690,3
1693,3
1694,3
1695,3
1697,3
1698,3
1699,3
1700,1
1701,1
1706,3
1707,2
1708,2
1709,2
1710,2
1711,2
1712,2
1714,2
1716,1
1717,1
1718,1
1719,1
1720,1
1723,3
1725,2
1727,2
1728,2
1729,2
1730,1
1732,3
1734,3
1735,3
1736,3
1737,3
1739,3
1743,3
1744,3
1745,3
1747,2
1748,2
1750,2
1751,2
1752,2
1754,2
1755,2
1756,2
1757,2
1758,2
1759,2
1760,2
1761,2
1763,1
1764,1
1766,1
1767,1
1768,1
1769,1
1770,3
1772,3
1773,3
1775,3
1776,3
1778,3
1781,3
1783,3
1787,2
1788,3
1789,3
1791,3
1792,3
1793,3
1794,2
1795,2
1796,2
1798,2
1799,3
1800,3
1801,3
1802,3
1803,3
1806,1
1807,1
1808,3
1809,3
1810,3
1812,3
1813,3
1814,3
1817,3
1819,3
1820,3
1822,3
1823,2
1825,2
1826,2
1827,2
1828,2
1831,3
1832,3
1833,3
1834,3
1836,1
1837,1
1838,1
1839,1
1840,2
1842,2
1843,2
1849,3
1850,2
1854,2
1856,2
1857,2
1859,2
1860,2
1863,1
1864,1
1865,1
1866,3
1869,3
1871,3
1873,3
1874,1
1876,2
1877,2
1878,2
1879,2
1880,2
1882,2
1884,2
1885,2
1886,2
1887,2
1888,2
1889,2
1890,1
1891,1
1892,3
1893,3
1895,3
1897,3
1898,3
1900,3
1901,3
1902,3
1903,1
1904,3
1905,3
1906,3
1908,1
1909,2
1910,2
1911,2
1912,2
1913,2
1916,3
1917,3
1919,3
1925,3
1926,2
1928,2
1929,2
1930,2
1932,2
1934,2
1935,2
1936,2
1937,2
1938,3
1940,1
1942,2
1944,2
1945,2
1946,2
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1957,3
1958,2
1960,2
1962,2
1965,3
1968,2
1969,2
1971,2
1972,2
1973,1
1974,1
1975,1
1976,1
1978,2
1980,2
1981,2
1984,2
1985,2
1986,2
1988,2
1990,2
1991,2
1992,2
1993,2
1995,2
1996,2
1997,2
1999,2
2004,2
2005,2
2007,2
2009,2
2010,3
2012,3
2014,3
2015,3
2016,3
2017,1
2018,1
2020,1
2026,2
2027,1
2028,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2038,3
2040,2
2043,2
2044,2
2045,1
2046,3
2048,2.75
2049,2
2051,2
2053,2
2054,2
2055,2
2057,2
2058,2
2059,2
2061,1
2063,2
2067,3
2068,3
2069,3
2071,3
2072,3
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2084,3
2087,1
2090,1
2091,1
2092,2
2093,2
2094,2
2096,3
2099,3
2100,1
2101,3
2102,3
2104,3
2105,3
2108,3
2110,3
2111,2
2112,2
2114,2
2116,2
2119,2
2120,2
2121,2
2122,2
2123,2
2124,3
2125,3
2127,3
2128,3
2129,1
2131,2
2132,2
2134,2
2135,2
2138,2
2140,2
2141,2
2142,2
2143,2
2144,2
2145,2
2147,2
2150,3
2152,1
2155,2
2156,2
2159,3
2161,3
2162,3
2164,3
2165,3
2168,3
2170,3
2171,3
2172,3
2174,3
2175,3
2177,1
2178,3
2179,2
2180,2
2183,2
2184,2
2185,2
2186,2
2187,2
2191,2
2192,2
2193,2
2194,2
2195,2
2196,2
2197,1
2198,1
2199,1
2200,1
2202,2
2203,2
2205,2
2207,1
2208,1
2209,1
2212,1
2213,3
2214,3
2215,3
2216,3
2217,3
2219,1
2220,1
2221,3
2223,3
2225,3
2227,2
2228,2
2229,3
2230,3
2231,3
2232,3
2233,3
2234,3
2235,3
2236,3
2238,3
2239,3
2240,3
2241,1
2243,3
2244,3
2246,3
2247,1
2249,2
2250,2
2252,2
2253,1
2254,1
2255,3
2256,3
2260,3
2261,3
2262,3
2263,3
2264,3
2265,3
2266,1
2267,1
2268,3
2269,3
2271,3
2272,3
2274,3
2276,3
2278,3
2280,1
2282,2
2285,1
2286,2
2287,2
2289,2
2290,2
2294,2
2295,2
2296,2
2301,2
2302,2
2304,2
2305,2
2307,2
2308,2
2309,2
2311,2
2313,2
2314,2
2316,2
2317,2
2318,2
2319,2
2320,3
2322,3
2324,3
2327,3
2329,3
2330,3
2331,3
2332,3
2335,3
2336,3
2337,3
2338,3
2340,3
2341,3
2342,2
2343,2
2344,2
2345,2
2347,2
2348,2
2349,2
2350,2
2352,2
2353,2
2354,2
2355,2
2356,2
2357,2
2358,2
2360,1
2361,1
2362,1
2363,1
2364,1
2366,3
2367,2
2368,2
2370,2
2371,1
2372,3
2373,3
2376,3
2377,3
2378,3
2379,3
2380,3
2382,3
2383,3
2384,3
2386,3
2387,3
2388,3
2389,3
2390,3
2391,3
2392,3
2394,1
2395,1
2396,1
2397,3
2399,1
2400,1
2401,1
2402,1
2404,2
2405,2
2406,2
2407,2
2408,2
2411,2
2412,2
2414,2
2415,2
2417,3
2418,3
2419,3
2422,3
2425,3
2427,3
2428,3
2429,1
2430,1
2431,1
2432,2
2434,2
2436,2
2437,3
2438,2
2440,2
2441,2
2444,2
2445,2
2446,2
2447,3
2450,3
2452,3
2454,3
2457,3
2458,3
2459,3
2460,3
2463,3
2467,2
2469,3
2472,3
2473,3
2476,1
2477,3
2479,3
2480,3
2481,3
2482,3
2483,3
2486,3
2487,3
2488,2
2491,3
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2501,3
2503,2
2504,2
2505,2
2506,2
2508,2
2509,2
2510,2
2511,1
2512,1
2517,3
2518,3
2519,3
2520,3
2521,3
2522,3
2523,3
2524,3
2525,3
2526,3
2527,3
2528,3
2529,3
2530,3
2531,3
2532,3
2533,3
2536,3
2537,3
2541,2
2542,2
2543,2
2544,2
2546,2
2547,2
2548,2
2549,2
2550,2
2552,2
2553,1
2554,3
2557,3
2558,3
2559,3
2560,3
2561,3
2563,2
2564,1
2565,1
2566,1
2567,1
2568,2
2569,2
2570,2
2572,1
2573,1
2574,3
2576,3
2577,3
2579,3
2580,3
2583,3
2584,3
2586,3
2587,3
2588,3
2589,3
2590,3
2591,3
2593,1
2594,1
2595,3
2596,1
2597,1
2599,1
2600,1
2601,1
2602,1
2603,1
2606,1
2607,1
2609,1
2610,1
2611,1
2612,1
2613,1
2614,1
2615,1
2618,1
2619,1
2620,1
2623,2
2624,3
2625,3
2629,3
2630,3
2631,3
2632,3
2633,3
2634,3
2635,3
2637,3
2638,3
2639,2
2640,2
2641,2
2644,2
2645,2
2646,2
2647,1
2648,1
2649,2
2650,3
2651,3
2652,3
2653,3
2655,3
2656,3
2658,3
2659,3
2661,3
2663,3
2664,1
2665,3
2667,3
2668,3
2674,3
2676,3
2678,3
2679,3
2681,3
2682,3
2683,3
2684,3
2687,3
2689,3
2690,3
2692,3
2693,3
2694,3
2699,2
2701,3
2702,3
2703,3
2705,2
2706,2
2707,2
2711,1
2713,1
2714,3
2716,3
2717,3
2718,3
2719,1
2720,1
2721,1
2722,1
2723,1
2724,2
2726,2
2727,2
2730,2
2731,2
2732,2
2734,2
2738,3
2739,3
2740,3
2742,3
2743,3
2745,3
2746,3
2747,3
2748,2
2749,2
2751,2
2753,2
2754,2
2756,2
2757,3
2759,3
2760,1
2761,1
2762,1
2763,1
2764,1
2765,3
2766,3
2767,3
2769,1
2770,1
2771,1
2772,1
2773,1
2774,3
2775,3
2776,3
2778,2
2779,2
2780,2
2781,2
2783,3
2788,3
2789,3
2790,3
2792,3
2793,3
2794,2
2795,2
2797,2
2799,2
2801,2
2803,2
2804,2
2805,2
2806,2
2807,2
2809,3
2810,3
2811,3
2812,3
2813,3
2814,1
2815,3
2817,3
2819,3
2821,3
2822,1
2824,1
2825,2
2827,2
2828,2
2829,2
2830,3
2832,3
2837,2
2840,3
2842,3
2843,2
2844,2
2848,3
2849,3
2850,3
2851,3
2852,3
2854,3
2856,3
2857,3
2858,3
2860,1
2862,2
2863,3
2864,3
2868,3
2873,3
2877,3
2878,3
2879,2
2881,3
2884,2
2886,2
2888,2
2889,2
2890,2
2891,2
2893,2
2900,2
2903,1
2904,3
2906,3
2907,3
2908,3
2910,3
2911,1
2913,3
2916,2
2917,2
2919,2
2922,3
2923,2
2925,2
2926,2
2927,2
2928,2
2929,2
2930,2
2931,2
2933,2
2934,2
2936,2
2937,2
2938,2
2939,2
2940,2
2941,2
2942,3
2945,1
2946,1
2947,1
2948,1
2950,3
2951,3
2952,3
2953,3
2954,3
2955,3
2956,3
2957,3
2959,3
2960,3
2961,3
2962,3
2963,3
2965,3
2967,2
2969,3
2970,2
2972,3
2977,3
2978,3
2979,3
2981,3
2982,1
2983,2
2985,2
2986,2
2988,2
2989,2
2992,2
2993,2
2994,2
2995,2
2996,2
2997,2
2998,2
2999,2
3000,2
3001,2
3003,2
3005,2
3006,2
3007,2
3009,2
3011,2
3014,2
3015,2
3016,3
3018,2
3019,2
3020,2
3022,3
3023,3
3024,3
3025,3
3027,3
3028,3
3031,1
3033,2
3034,3
3035,3
3037,3
3038,3
3040,3
3041,3
3042,3
3043,3
3045,1
3046,1
3047,1
3048,3
3049,3
3051,3
3052,3
3053,3
3054,3
3057,3
3058,3
3059,3
3060,3
3061,3
3062,3
3063,3
3064,3
3065,3
3068,3
3071,3
3072,3
3073,3
3074,3
3075,3
3077,2
3080,2
3081,2
3083,3
3084,2
3085,2
3087,2
3088,2
3090,2
3091,2
3093,2
3094,3
3095,3
3097,3
3099,3
3100,3
3102,3
3103,3
3106,3
3107,1
3108,1
3109,1
3110,1
3111,1
3112,3
3113,2
3117,2
3118,3
3119,3
3120,3
3122,3
3123,3
3124,3
3125,2
3129,1
3130,1
3131,1
3132,1
3133,1
3137,3
3141,2
3142,1
3145,1
3146,1
3148,1
3149,1
3150,1
3152,3
3153,3
3154,3
3155,3
3156,3
3157,3
3158,3
3160,3
3162,3
3164,3
3166,1
3167,3
3168,3
3169,3
3173,2
3174,2
3175,2
3176,2
3177,2
3178,2
3180,2
3182,2
3183,2
3184,2
3185,2
3186,2
3188,2
3189,3
3191,2
3193,2
3195,3
3196,3
3197,3
3198,3
3201,3
3203,3
3204,3
3205,1
3206,1
3207,1
3208,1
3209,1
3210,1
3212,3
3216,1
3217,3
3218,3
3219,3
3220,3
3221,3
3222,3
3224,3
3226,3
3228,3
3230,1
3233,2
3234,2
3236,2
3237,2
3239,2
3240,3
3242,3
3243,3
3244,3
3245,3
3247,3
3248,3
3251,3
3252,3
3253,3
3255,2
3257,3
3258,3
3259,3
3261,3
3262,3
3263,3
3264,3
3265,3
3266,3
3267,3
3269,3
3271,3
3273,3
3275,3
3277,1
3278,1
3279,1
3280,2
3282,1
3283,1
3284,3
3286,3
3287,3
3289,3
3290,3
3291,3
3293,3
3294,3
3296,3
3297,3
3298,3
3299,3
3300,3
3302,3
3303,2
3305,2
3306,2
3307,2
3308,2
3310,2
3313,2
3316,2
3317,1
3318,1
3319,1
3320,1
3321,3
3324,2
3325,2
3326,2
3329,3
3332,3
3334,1
3335,1
3336,1
3337,1
3339,3
3340,3
3343,3
3345,2
3347,2
3349,3
3350,3
3351,3
3352,3
3353,3
3355,3
3357,3
3358,3
3361,3
3362,3
3363,3
3364,3
3365,3
3367,1
3368,1
3370,2
3371,3
3372,3
3373,3
3375,3
3376,1
3377,1
3378,1
3379,1
3380,1
3381,1
3382,1
3383,1
3384,1
3385,1
3386,3
3387,3
3390,3
3393,2
3394,3
3395,3
3396,3
3398,3
3399,3
3401,3
3402,3
3404,2
3405,2
3408,2
3409,2
3413,2
3415,2
3419,3
3420,3
3421,3
3423,3
3424,1
3425,1
3426,3
3427,3
3428,3
3429,3
3431,2
3432,3
3433,3
3434,3
3435,3
3436,3
3437,3
3438,3
3439,3
3441,3
3442,3
3444,3
3445,3
3448,3
3450,3
3451,3
3452,3
3454,3
3455,3
3456,3
3458,3
3459,2
3461,2
3462,2
3463,2
3464,3
3465,3
3466,3
3467,3
3468,3
3469,3
3472,2
3474,2
3476,2
3478,2
3480,2
3481,2
3482,2
3483,2
3484,3
3489,2
3492,2
3493,2
3495,2
3497,2
3498,3
3500,3
3501,1
3502,1
3503,1
3504,2
3505,2
3508,2
3510,2
3511,2
3512,2
3514,3
3518,3
3519,1
3524,2
3525,2
3526,2
3527,2
3528,2
3529,2
3530,2
3531,2
3532,2
3533,2
3534,2
3537,2
3538,2
3539,2
